Task,Milestone,"Total, hr.","Front view, hr.","Front logic, hr.","Back api, hr.","Back logic, hr.","Database, hr.","Testing, hr.","Automation test, hr.","Docs, hr.","UI Design, hr.","Management, hr.","Risk, hr."
Project kickoff & requirements workshop (utilities tracking & payments),Discovery & Planning,5,0,2,0,0,0,0,0,0,0,2,1
"Define MVP scope + acceptance criteria (providers, bills, payments)",Discovery & Planning,4,0,2,0,0,0,0,0,0,0,1,1
User flow mapping (accounts â bills â payment â history),Discovery & Planning,6,0,3,0,0,0,0,0,0,0,2,1
"Low-fidelity wireframes (dashboard, bill details, pay flow)",Discovery & Planning,9,0,2,0,0,0,0,0,0,0,6,1
React Native bootstrap + repo setup,Setup,6,0,3,2,0,0,0,0,0,0,0,1
Lint/format + git hooks,Setup,4.5,0,2,2,0,0,0,0,0,0,0,0.5
Navigation base structure,Setup,6.5,0,2,4,0,0,0,0,0,0,0,0.5
State management base store,Setup,5.5,0,1,4,0,0,0,0,0,0,0,0.5
API client + interceptors,Setup,5.5,0,1,4,0,0,0,0,0,0,0,0.5
Env configs + secrets handling,Setup,3.5,0,1,2,0,0,0,0,0,0,0,0.5
Login/Sign-up screens (phone/email),Auth & KYC-lite,15.5,8,1,4,0,0,0,0,0,0,2,0.5
OTP verification / password reset flows,Auth & KYC-lite,13,0,0,10,0,0,0,2,0,0,0.5,0.5
Token auth + secure storage,Auth & KYC-lite,9.5,0,0,8,0,0,0,1,0,0,0,0.5
Session persistence + logout + refresh token flow,Auth & KYC-lite,10.7,0,0,8,0,0,0,2,0,0,0.2,0.5
Dashboard: current balance + due bills + quick actions,Core Billing,25.5,10,0,10,0,0,0,3,0,0,2,0.5
"Bills list screen (by provider, due date, status)",Core Billing,19.5,8,0,8,0,0,0,2,0,0,1,0.5
"Bill details screen (meter, period, amount, breakdown)",Core Billing,21.5,8,0,10,0,0,0,2,0,0,1,0.5
Provider management (add/remove utility accounts),Core Billing,19.5,6,0,10,0,0,0,2,0,0,1,0.5
Meter readings input (manual entry) + validation,Core Billing,21.5,6,0,12,0,0,0,2,0,0,1,0.5
Generate bill preview from readings (client-side calc stub),Core Billing,13,0,0,10,0,0,0,2,0,0,0.5,0.5
Payment flow UI (choose bill â amount â confirm),Payments,24.5,10,0,10,0,0,0,3,0,0,1,0.5
